Version,NTHREADS,NGENERACIONES,NPOBLACION,TiempoReal,TiempoUser,TiempoSys,UsageCPU,Throughput,Latencia
3,2,10,10,0.00,0.00,0.00,50%,0.0000,0.00000000
3,2,10,100,0.00,0.00,0.00,33%,0.0000,0.00000000
3,2,10,1000,0.11,0.15,0.00,145%,90909.0909,0.00001100
3,2,50,10,0.00,0.00,0.00,125%,0.0000,0.00000000
3,2,50,100,0.03,0.03,0.00,126%,166666.6667,0.00000600
3,2,50,1000,0.08,0.08,0.03,151%,625000.0000,0.00000160
3,2,100,10,0.01,0.00,0.00,100%,100000.0000,0.00001000
3,2,100,100,0.06,0.07,0.01,147%,166666.6667,0.00000600
3,2,100,1000,0.18,0.22,0.07,161%,555555.5556,0.00000180
3,5,10,10,53.31,153.11,59.30,398%,1.8758,0.53310000
3,5,10,100,0.17,0.24,0.05,167%,5882.3529,0.00017000
3,5,10,1000,99.93,255.15,54.59,309%,100.0700,0.00999300
3,5,50,10,62.91,194.63,52.42,392%,7.9479,0.12582000
3,5,50,100,205.80,676.20,137.32,395%,24.2954,0.04116000
3,5,50,1000,448.50,1020.58,328.77,300%,111.4827,0.00897000
3,5,100,10,34.06,105.75,26.31,387%,29.3600,0.03406000
3,5,100,100,217.69,710.71,147.45,394%,45.9369,0.02176900
3,5,100,1000,27.21,79.84,16.43,353%,3675.1194,0.00027210
3,10,10,10,106.72,360.52,64.86,398%,0.9370,1.06720000
3,10,10,100,2.40,7.23,1.35,357%,416.6667,0.00240000
3,10,10,1000,0.43,1.08,0.16,288%,23255.8140,0.00004300
3,10,50,10,14.05,45.56,7.99,381%,35.5872,0.02810000
3,10,50,100,408.99,1402.94,224.74,397%,12.2252,0.08179800
3,10,50,1000,202.45,676.23,121.70,394%,246.9746,0.00404900
3,10,100,10,159.67,526.83,94.53,389%,6.2629,0.15967000
3,10,100,100,35.58,112.57,20.79,374%,281.0568,0.00355800
3,10,100,1000,44.09,137.18,25.61,369%,2268.0880,0.00044090
